Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Groups With Access Code,Level1_Chargers,Level2_Chargers,DC_Fast_Chargers,EV_Network,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Connector_Types,Country,Total_Chargers,Total_Chargers_in_State
ELEC,HOSPITAL SJRMC STATION#1,1600 N Rose Ave,Oxnard,CA,93030,E,Public,0.0,2.0,0.0,Chargepoint Network,34.217268,-119.154323,2/8/2024,199315,2024-02-08 00:20:52 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL BMH 03,420 34th St,Bakersfield,CA,93301,E,Public,0.0,2.0,0.0,Chargepoint Network,35.392691,-119.006965,2/8/2024,199316,2024-02-08 00:20:52 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL FHMC_1,1911 Johnson Ave,San Luis Obispo,CA,93401,E,Public,0.0,2.0,0.0,Chargepoint Network,35.278374,-120.652059,2/8/2024,199317,2024-02-08 00:20:52 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL SJRMC STATION#3,1600 N Rose Ave,Oxnard,CA,93030,E,Public,0.0,2.0,0.0,Chargepoint Network,34.217169,-119.154321,2/8/2024,199318,2024-02-08 00:20:52 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL FHMC_2,1911 Johnson Ave,San Luis Obispo,CA,93401,E,Public,0.0,2.0,0.0,Chargepoint Network,35.278386,-120.652028,2/8/2024,199319,2024-02-08 00:20:53 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL GMH EMPLOYEE #2,115 W Eulalia St,Glendale,CA,91204,E,Public,0.0,2.0,0.0,Chargepoint Network,34.126763,-118.256073,2/8/2024,199320,2024-02-08 00:20:53 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL MGH STATION 2,4001 J St,Sacramento,CA,95819,E,Public,0.0,2.0,0.0,Chargepoint Network,38.569938,-121.453318,2/8/2024,199321,2024-02-08 00:20:54 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL SMMC LB 3,1074 Linden Ave,Long Beach,CA,90813,E,Public,0.0,2.0,0.0,Chargepoint Network,33.780122,-118.186452,2/8/2024,199322,2024-02-08 00:20:54 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL SBMC EV 01,2101 N Waterman Ave,San Bernardino,CA,92404,E,Public,0.0,2.0,0.0,Chargepoint Network,34.134538,-117.274377,2/8/2024,199323,2024-02-08 00:20:54 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL MSJ_GARAGE 3,6501 Coyle Ave,Carmichael,CA,95621,E,Public,0.0,2.0,0.0,Chargepoint Network,38.670722,-121.314249,2/8/2024,199324,2024-02-08 00:20:54 UTC,J1772,US,2.0,49387.0
